timestamp,x,y,z
13124000,-8.074787395091885,9.71237703517696,-8.081453843276405
13166000,-8.887211953033885,9.812645536643481,-7.851090618111898
13208000,-10.286187370047383,9.930770062262603,-7.806634048191692
13250000.0,-12.09046971869573,9.980191898424685,-7.586759390301492
13292000,-13.758371757069439,10.040177616451842,-7.645958769764607
13334000,-16.478664600573453,10.028025839932164,-7.357036415939657
13374000,-19.36452575164432,10.56251437819076,-7.156627943157901
13416000,-20.573512358551252,10.880371142112534,-6.515721845436103
13458000,-23.18457926963349,10.734647171715135,-6.801178612471211
13500000.0,-25.444455888022322,10.607416639059883,-6.6533863632830075
13542000,-27.8121309056314,10.457409171482459,-6.646735019629181
13584000,-29.8476363167203,10.026410574241185,-6.972582275242372
13624000,-32.12430172552675,9.26213837051987,-7.428653579710811
13666000,-36.09126563687749,8.893410900320443,-7.818848741296992
13708000,-39.30375877693182,8.563293893628131,-7.948093540783477
13750000.0,-41.771868099900374,8.33720191243912,-7.939458394105403
13792000,-44.03129657455363,8.504523916312419,-7.831347139346395
13834000,-46.05002606154818,8.55338960256522,-7.805211031045226
13874000,-49.599521141591474,8.40536291022861,-7.8828327562961515
13916000,-52.50245184466171,8.595271605535277,-7.9937579397884715
13958000,-54.3584303461744,8.60946447201097,-7.976035259156725
14000000.0,-56.89749282217529,8.46877832038045,-7.9185133499584275
14042000,-59.49801422449819,8.196899066088298,-7.742334297282678
14084000,-61.859554910905516,8.051627664646416,-7.656477369629412
14124000,-64.1909868479409,8.006796790092803,-7.626053299143721
14166000,-66.61092643758663,8.02866038725244,-7.674335803921687
14208000,-69.28383633189848,8.057963853039684,-7.691349602319271
14250000.0,-71.9822167620317,8.110948743823226,-7.7383425840771425
14292000,-74.98961289091687,8.120406339056059,-7.744051444026786
14334000,-78.21821366124802,8.1266660870148,-7.767983793011622
14374000,-81.4577144176721,8.160471062916631,-7.721464672834359
14416000,-84.46599334948485,8.091441490572375,-7.5310963139350875
14458000,-86.91113242629824,8.109653513375909,-7.317746225980523
14500000.0,-89.50811007450886,8.122204568203202,-7.232380806483125
14542000,-91.38561529598576,8.127174916821392,-7.222454061293416
14584000,-91.3030971707072,8.149049414379787,-7.061158156191803
14624000,-91.24413521195589,8.17546752773503,-6.943436069877632
14666000,-91.26999549445243,8.24527716336595,-5.7320863307515495
14708000,-90.8784037169957,8.383678771262478,-3.287894449263778
14750000.0,-90.52284071771905,8.447024965643383,-2.5157775007390084
14792000,-90.3370390555104,8.473283393854416,-2.548061371580197
14834000,-90.28393692320469,8.489801974328016,-2.587768671738379
